cube                    60.67  0.49    62.50  0.80
cube  AA                60.46  0.15    62.39  1.36
camera                  60.02  0.22    61.75  1.32
line                    60.32  0.38    61.77  0.54
line AA                 60.78  0.54    61.83  0.97
texture 1               60.14  1.17    61.88  1.61
texture 2               60.31  0.54    62.33  1.22
simple light 1          59.95  0.60    61.07  1.02
simple light 2          60.02  1.19    61.90  0.97
more light              60.18  0.40    60.02  1.13
two texture more light  60.04  0.31    59.74  0.75
transparent             59.97  1.13    60.13  1.76
lighting                60.52  0.53    57.47  1.87     2 + 12 + 8 + 256 * 20 + 234 = 5376
Clipping                59.98  0.44    59.67  1.29     2 + 12 + 12 + 8 + 2 = 36
BubbleTest              60.20  1.52    60.07  1.43     2 + 12 + 960 = 974
CompressedTextureTest   60.04  0.56    59.59  0.73     2 + 12 * 8 = 98
ShadowTest              59.84  0.35    60.12  1.02     12 * 4 + 108 = 156









cube  [12.000000000625732, 15.199999999822467, 9.399999999914144, 15.99999999962165, 16.599999999925785, 20.50000000053842, 15.199999999822467, 10.99999999951251, 17.00000000073487, 15.599999999722058, 16.999999999825377, 16.300000000228465, 17.700000000331784, 14.999999999417923, 17.300000000432192]
cube  AA [11.300000000119326, 15.799999999217107, 12.600000000020373, 16.300000000228465, 16.400000000430737, 20.299999999224383, 15.000000000327418, 11.400000000321597, 16.499999999723514, 16.700000000128057, 15.800000000126602, 17.20000000022992, 15.799999999217107, 16.599999999925785, 17.600000000129512]
light [14.699999999720603, 23.100000000340515, 19.59999999962747, 7.599999999911233, 11.90000000042346, 18.499999999221473, 15.600000000631553, 15.300000000024738, 16.999999999825377, 16.599999999925785, 18.90000000003056, 13.89999999992142, 16.599999999925785, 16.9000000005326, 16.599999999925785]
light AA [15.499999999519787, 21.999999999934516, 17.800000000534055, 7.999999999810825, 13.6000000002241, 18.699999999626016, 16.099999999823922, 15.10000000052969, 16.499999999723514, 16.200000000026193, 18.399999999928696, 15.40000000022701, 16.099999999823922, 16.700000000128057, 16.499999999723514]
texture 1 [14.49999999931606, 23.400000000037835, 19.500000000334694, 7.499999999708962, 12.000000000625732, 18.799999999828287, 15.69999999992433, 14.699999999720603, 16.400000000430737, 17.199999999320426, 18.90000000003056, 14.000000000123691, 16.9000000005326, 16.599999999925785, 16.399999999521242]
texture 2 [11.700000000018917, 17.39999999972497, 13.00000000082946, 16.999999999825377, 20.099999999729334, 11.90000000042346, 16.599999999925785, 14.599999999518332, 16.400000000430737, 16.200000000026193, 16.700000000128057, 16.499999999723514, 16.799999999420834, 16.300000000228465, 17.20000000022992]
simple light 1  [14.000000000123691, 23.500000000240107, 18.199999999524152, 7.599999999911233, 13.500000000021828, 19.200000000637374, 15.099999999620195, 15.599999999722058, 16.60000000083528, 16.399999999521242, 18.90000000003056, 14.299999999821011, 16.700000000128057, 16.700000000128057, 16.499999999723514]
simple light 2  [[12.299999999413558, 17.10000000002765, 12.600000000020373, 17.20000000022992, 19.699999999829743, 12.800000000424916, 15.499999999519787, 14.700000000630098, 16.700000000128057, 16.29999999931897, 17.20000000022992, 16.400000000430737, 16.499999999723514, 16.399999999521242, 17.00000000073487]]
more light [12.09999999991851, 13.399999999819556, 14.100000000325963, 13.699999999516876, 20.099999999729334, 12.300000000323053, 15.500000000429281, 14.799999999922875, 17.199999999320426, 16.50000000063301, 16.999999999825377, 16.300000000228465, 16.699999999218562, 16.000000000531145, 16.999999999825377]
two texture more light [12.700000000222644, 15.300000000024738, 12.200000000120781, 16.999999999825377, 19.800000000032014, 13.800000000628643, 14.400000000023283, 15.099999999620195, 16.300000000228465, 16.999999999825377, 16.099999999823922, 16.999999999825377, 15.69999999992433, 16.80000000033033, 17.10000000002765]
